year,birth_country,category,count,id,country,gdp_nominal,gdp_abbrev,gdp_growth,population,gdp_per_capita,share_of_world_gdp,average_iq,averageIqByCountry_sourceLynnBecker2019,AverageIQ_ICI2017Grade,AverageIQ_ICI2017Score,OverallPisaScore2022,PISAScoresMathScore2022,PISAScoresScienceScore2022,PISAScoresReadingScore2022
1969,Germany,Medicine,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1969,Ireland,Literature,1,26,Ireland,529245000000,$529 billion,11.97%,5023109,105362,0.53%,95.13,T,B+,53.6,1512,492,504,516
1969,Italy,Medicine,1,10,Italy,2010430000000,$2.010 trillion,3.67%,59037474,34053,2.00%,94.23,T,B,48,1430,471,477,482
1969,Netherlands,Economics,1,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440,493,488,459
1969,Norway,ChemistryEconomics,2,24,Norway,579267000000,$579 billion,3.28%,5434319,106594,0.58%,97.13,T,B+,55,1423,468,478,477
1969,United Kingdom,Chemistry,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1969,United States,MedicinePhysics,2,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1970,France,ChemistryPhysics,2,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1970,Germany,Medicine,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1970,Russia,Literature,1,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1970,Sweden,MedicinePhysics,2,23,Sweden,585939000000,$586 billion,2.64%,10549347,55543,0.58%,97,T,A,61.6,1463,482,494,487
1970,United States,EconomicsMedicinePeace,3,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1971,Belarus,Economics,1,76,Belarus,72793457588,$72.79 billion,-4.70%,9534954,7634,0.07%,101.6,T,,,,,,
1971,Chile,Literature,1,45,Chile,301025000000,$301 billion,2.44%,19603733,15355,0.30%,87.89,T,C+,37.8,1304,412,444,448
1971,Germany,ChemistryPeace,2,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1971,Hungary,Physics,1,57,Hungary,178789000000,$179 billion,4.58%,9967308,17938,0.18%,99.24,T,B,50,1432,473,486,473
1971,United States,Medicine,1,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1972,Germany,Literature,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1972,United Kingdom,EconomicsMedicine,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1972,United States,ChemistryEconomicsMedicinePhysics,8,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1973,Austria,Medicine,2,32,Austria,471400000000,$471 billion,5.00%,8939617,52732,0.47%,98.38,T,A-,58.7,1458,487,491,480
1973,Germany,ChemistryPeace,2,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1973,Japan,Physics,1,3,Japan,4231140000000,$4.231 trillion,1.03%,123951692,34135,4.21%,106.48,T,A-,58.9,1599,536,547,516
1973,Netherlands,Medicine,1,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440,493,488,459
1973,Norway,Physics,1,24,Norway,579267000000,$579 billion,3.28%,5434319,106594,0.58%,97.13,T,B+,55,1423,468,478,477
1973,Russia,Economics,1,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1973,United Kingdom,ChemistryLiteraturePhysics,3,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1973,Vietnam,Peace,1,35,Vietnam,408802000000,$409 billion,8.02%,98186856,4164,0.41%,89.53,T,C-,25.1,1403,469,472,462
1974,Austria,Economics,1,32,Austria,471400000000,$471 billion,5.00%,8939617,52732,0.47%,98.38,T,A-,58.7,1458,487,491,480
1974,Belgium,Medicine,1,25,Belgium,578604000000,$579 billion,3.25%,11655930,49640,0.58%,97.49,T,A-,58.7,1459,489,491,479
1974,France,Peace,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1974,Japan,Peace,1,3,Japan,4231140000000,$4.231 trillion,1.03%,123951692,34135,4.21%,106.48,T,A-,58.9,1599,536,547,516
1974,Romania,Medicine,1,44,Romania,301262000000,$301 billion,4.79%,19659267,15324,0.30%,86.88,T,C+,39.4,1284,428,428,428
1974,Sweden,EconomicsLiterature,3,23,Sweden,585939000000,$586 billion,2.64%,10549347,55543,0.58%,97,T,A,61.6,1463,482,494,487
1974,United Kingdom,MedicinePhysics,4,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1974,United States,Chemistry,1,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1975,Australia,Chemistry,1,12,Australia,1675420000000,$1.675 trillion,3.62%,26177413,64003,1.67%,99.24,T,A,64,1492,487,507,498
1975,Bosnia and Herzegovina,Chemistry,1,108,Bosnia and Herzegovina,24527507288,$24.53 billion,3.90%,3233526,7585,0.02%,88.54,T,C-,25.8,,,,
1975,Denmark,Physics,1,39,Denmark,395404000000,$395 billion,3.82%,5882261,67220,0.39%,97.83,T,A,60.3,1472,489,494,489
1975,Italy,LiteratureMedicine,2,10,Italy,2010430000000,$2.010 trillion,3.67%,59037474,34053,2.00%,94.23,T,B,48,1430,471,477,482
1975,Netherlands,Economics,1,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440,493,488,459
1975,Russia,EconomicsPeace,2,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1975,United States,MedicinePhysics,4,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1976,Canada,Literature,1,9,Canada,2139840000000,$2.140 trillion,3.40%,38454327,55646,2.13%,99.52,T,A,61.2,1519,497,515,507
1976,United Kingdom,Peace,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1976,United States,ChemistryEconomicsMedicinePhysics,6,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1977,France,Medicine,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1977,Lithuania,Medicine,1,79,Lithuania,70334299008,$70.33 billion,1.89%,2750055,25576,0.07%,95.89,T,B,46.3,1431,475,484,472
1977,Russia,Chemistry,2,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1977,Spain,Literature,1,15,Spain,1397510000000,$1.398 trillion,5.45%,47558630,29385,1.39%,93.9,T,B,49.8,1432,473,485,474
1977,Sweden,Economics,1,23,Sweden,585939000000,$586 billion,2.64%,10549347,55543,0.58%,97,T,A,61.6,1463,482,494,487
1977,United Kingdom,EconomicsPhysics,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1977,United States,MedicinePhysics,3,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1978,Belarus,Peace,1,76,Belarus,72793457588,$72.79 billion,-4.70%,9534954,7634,0.07%,101.6,T,,,,,,
1978,Egypt,Peace,1,31,Egypt,476748000000,$477 billion,6.59%,110990103,4295,0.47%,76.32,T,D+,21.6,,,,
1978,Germany,Physics,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1978,Poland,Literature,1,21,Poland,688177000000,$688 billion,4.87%,39857145,17266,0.68%,96.35,T,B,45.6,1477,489,499,489
1978,Russia,Physics,1,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1978,Switzerland,Medicine,1,20,Switzerland,807706000000,$808 billion,2.06%,8740472,92410,0.80%,99.24,T,A,61.6,1494,508,503,483
1978,United Kingdom,Chemistry,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1978,United States,EconomicsMedicinePhysics,4,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1979,Germany,Chemistry,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1979,Greece,Literature,1,54,Greece,219066000000,$219 billion,5.91%,10384971,21095,0.22%,90.77,T,B-,40.1,1309,430,441,438
1979,Pakistan,Physics,2,41,Pakistan,376533000000,$377 billion,6.19%,235824862,1597,0.37%,80,T,D,19.6,,,,
1979,Saint Lucia,Economics,1,161,Saint Lucia,2065027556,$2.07 billion,15.40%,179857,11481,0.00%,73.68,E,,,,,,
1979,South Africa,Medicine,1,37,South Africa,405870000000,$406 billion,2.04%,59893885,6776,0.40%,68.87,T,C,33,,,,
1979,United Kingdom,ChemistryMedicine,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1979,United States,EconomicsPhysics,3,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1980,Argentina,Peace,1,22,Argentina,632770000000,$633 billion,5.24%,45510318,13904,0.63%,86.63,T,B-,40.5,1185,378,406,401
1980,France,Medicine,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1980,Lithuania,Literature,1,79,Lithuania,70334299008,$70.33 billion,1.89%,2750055,25576,0.07%,95.89,T,B,46.3,1431,475,484,472
1980,United Kingdom,Chemistry,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1980,United States,ChemistryEconomicsMedicinePhysics,6,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1981,Bulgaria,Literature,1,68,Bulgaria,89040398406,$89.04 billion,3.36%,6781953,13129,0.09%,90.99,T,B-,43.3,1242,417,421,404
1981,Canada,Medicine,1,9,Canada,2139840000000,$2.140 trillion,3.40%,38454327,55646,2.13%,99.52,T,A,61.2,1519,497,515,507
1981,Japan,Chemistry,1,3,Japan,4231140000000,$4.231 trillion,1.03%,123951692,34135,4.21%,106.48,T,A-,58.9,1599,536,547,516
1981,Netherlands,Physics,1,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440,493,488,459
1981,Sweden,MedicinePhysics,2,23,Sweden,585939000000,$586 billion,2.64%,10549347,55543,0.58%,97,T,A,61.6,1463,482,494,487
1981,Ukraine,Chemistry,1,58,Ukraine,160503000000,$161 billion,-29.10%,39701739,4043,0.16%,90.07,T,C+,38.3,1319,441,450,428
1981,United States,EconomicsMedicinePhysics,3,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1982,Colombia,Literature,1,43,Colombia,343939000000,$344 billion,7.50%,51874024,6630,0.34%,83.13,T,C-,27.9,1203,383,411,409
1982,Lithuania,Chemistry,1,79,Lithuania,70334299008,$70.33 billion,1.89%,2750055,25576,0.07%,95.89,T,B,46.3,1431,475,484,472
1982,Mexico,Peace,1,14,Mexico,1414190000000,$1.414 trillion,3.06%,127504125,11091,1.41%,87.73,T,C,30.7,1220,395,410,415
1982,Sweden,MedicinePeace,3,23,Sweden,585939000000,$586 billion,2.64%,10549347,55543,0.58%,97,T,A,61.6,1463,482,494,487
1982,United Kingdom,Medicine,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1982,United States,EconomicsPhysics,2,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1983,Canada,Chemistry,1,9,Canada,2139840000000,$2.140 trillion,3.40%,38454327,55646,2.13%,99.52,T,A,61.2,1519,497,515,507
1983,France,Economics,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1983,Pakistan,Physics,1,41,Pakistan,376533000000,$377 billion,6.19%,235824862,1597,0.37%,80,T,D,19.6,,,,
1983,Poland,Peace,1,21,Poland,688177000000,$688 billion,4.87%,39857145,17266,0.68%,96.35,T,B,45.6,1477,489,499,489
1983,United Kingdom,Literature,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1983,United States,MedicinePhysics,2,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1984,Argentina,Medicine,1,22,Argentina,632770000000,$633 billion,5.24%,45510318,13904,0.63%,86.63,T,B-,40.5,1185,378,406,401
1984,Germany,Medicine,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1984,Italy,Physics,1,10,Italy,2010430000000,$2.010 trillion,3.67%,59037474,34053,2.00%,94.23,T,B,48,1430,471,477,482
1984,Netherlands,Physics,1,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440,493,488,459
1984,South Africa,Peace,1,37,South Africa,405870000000,$406 billion,2.04%,59893885,6776,0.40%,68.87,T,C,33,,,,
1984,United Kingdom,EconomicsMedicine,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1984,United States,Chemistry,1,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1985,Italy,Economics,1,10,Italy,2010430000000,$2.010 trillion,3.67%,59037474,34053,2.00%,94.23,T,B,48,1430,471,477,482
1985,Madagascar,Literature,1,129,Madagascar,14954967604,$14.95 billion,3.80%,29611714,505,0.01%,76.79,E,D-,9,,,,
1985,Poland,Physics,1,21,Poland,688177000000,$688 billion,4.87%,39857145,17266,0.68%,96.35,T,B,45.6,1477,489,499,489
1985,United States,ChemistryMedicine,4,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1986,Germany,ChemistryPhysicsPhysics,3,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1986,Italy,Medicine,1,10,Italy,2010430000000,$2.010 trillion,3.67%,59037474,34053,2.00%,94.23,T,B,48,1430,471,477,482
1986,Nigeria,Literature,1,30,Nigeria,477386000000,$477 billion,3.25%,218541212,2184,0.47%,67.76,T,D-,13.9,,,,
1986,Romania,Peace,1,44,Romania,301262000000,$301 billion,4.79%,19659267,15324,0.30%,86.88,T,C+,39.4,1284,428,428,428
1986,Switzerland,Physics,1,20,Switzerland,807706000000,$808 billion,2.06%,8740472,92410,0.80%,99.24,T,A,61.6,1494,508,503,483
1986,United States,ChemistryEconomicsMedicine,3,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1987,Costa Rica,Peace,1,81,Costa Rica,68380838316,$68.38 billion,4.31%,5180829,13199,0.07%,88.34,T,C,32.4,1211,385,411,415
1987,France,Chemistry,2,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1987,Germany,Physics,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1987,Japan,Medicine,1,3,Japan,4231140000000,$4.231 trillion,1.03%,123951692,34135,4.21%,106.48,T,A-,58.9,1599,536,547,516
1987,Russia,Literature,1,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1987,South Korea,Chemistry,1,13,South Korea,1665250000000,$1.665 trillion,2.56%,51815810,32138,1.66%,102.35,T,A-,56.4,1570,527,528,515
1987,Switzerland,Physics,1,20,Switzerland,807706000000,$808 billion,2.06%,8740472,92410,0.80%,99.24,T,A,61.6,1494,508,503,483
1987,United States,ChemistryEconomics,2,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1988,Egypt,Literature,1,31,Egypt,476748000000,$477 billion,6.59%,110990103,4295,0.47%,76.32,T,D+,21.6,,,,
1988,France,Economics,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1988,Germany,ChemistryChemistryPhysics,5,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1988,United Kingdom,Medicine,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1988,United States,MedicinePhysics,4,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1989,Canada,Chemistry,1,9,Canada,2139840000000,$2.140 trillion,3.40%,38454327,55646,2.13%,99.52,T,A,61.2,1519,497,515,507
1989,Germany,PhysicsPhysics,2,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1989,Norway,Economics,1,24,Norway,579267000000,$579 billion,3.28%,5434319,106594,0.58%,97.13,T,B+,55,1423,468,478,477
1989,Spain,Literature,1,15,Spain,1397510000000,$1.398 trillion,5.45%,47558630,29385,1.39%,93.9,T,B,49.8,1432,473,485,474
1989,United States,ChemistryMedicinePhysics,4,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1990,Canada,Physics,1,9,Canada,2139840000000,$2.140 trillion,3.40%,38454327,55646,2.13%,99.52,T,A,61.2,1519,497,515,507
1990,Mexico,Literature,1,14,Mexico,1414190000000,$1.414 trillion,3.06%,127504125,11091,1.41%,87.73,T,C,30.7,1220,395,410,415
1990,Russia,Peace,1,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,
1990,United States,ChemistryEconomicsMedicinePhysics,8,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1991,France,Physics,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435,474,487,474
1991,Germany,Medicine,2,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447,475,492,480
1991,Myanmar,Peace,1,84,Myanmar,59364362541,$59.36 billion,3.00%,54179306,1096,0.06%,91.18,E,,,,,,
1991,South Africa,Literature,1,37,South Africa,405870000000,$406 billion,2.04%,59893885,6776,0.40%,68.87,T,C,33,,,,
1991,Switzerland,Chemistry,1,20,Switzerland,807706000000,$808 billion,2.06%,8740472,92410,0.80%,99.24,T,A,61.6,1494,508,503,483
1991,United Kingdom,Economics,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1992,Canada,Chemistry,1,9,Canada,2139840000000,$2.140 trillion,3.40%,38454327,55646,2.13%,99.52,T,A,61.2,1519,497,515,507
1992,China,Medicine,1,2,China,17963200000000,$17.963 trillion,2.99%,1425887337,12598,17.86%,104.1,T,B,47.3,1605,552,543,510
1992,Guatemala,Peace,1,67,Guatemala,95003333381,$95.00 billion,4.12%,17843908,5324,0.09%,47.72,T,D+,22.8,1091,344,373,374
1992,Poland,Physics,2,21,Poland,688177000000,$688 billion,4.87%,39857145,17266,0.68%,96.35,T,B,45.6,1477,489,499,489
1992,Saint Lucia,Literature,1,161,Saint Lucia,2065027556,$2.07 billion,15.40%,179857,11481,0.00%,73.68,E,,,,,,
1992,United States,EconomicsMedicine,2,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1993,South Africa,Peace,2,37,South Africa,405870000000,$406 billion,2.04%,59893885,6776,0.40%,68.87,T,C,33,,,,
1993,United Kingdom,ChemistryMedicine,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483,489,500,494
1993,United States,ChemistryEconomicsLiteratureMedicinePhysics,7,1,United States,25462700000000,$25.463 trillion,2.06%,338289857,75269,25.32%,97.43,T,A+,74.9,1468,465,499,504
1994,Belarus,Peace,1,76,Belarus,72793457588,$72.79 billion,-4.70%,9534954,7634,0.07%,101.6,T,,,,,,
